,val
750,239
751,224
752,214
753,204
754,195
755,190
756,175
757,165
758,146
759,141
760,131
761,122
762,112
763,102
764,97
765,87
766,78
767,68
768,63
769,53
770,53
771,48
772,43
773,39
774,34
775,29
776,24
777,19
778,19
779,19
780,19
781,19
782,14
783,9
784,9
785,9
786,9
787,9
788,9
789,9
790,9
791,9
792,9
793,4
794,-4
795,-4
796,-4
797,-4
798,-4
799,-4
800,-4
801,-4
802,-4
803,-9
804,-9
805,-9
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,4
826,4
827,4
828,4
829,4
830,4
831,4
832,4
833,4
834,4
835,4
836,4
837,4
838,4
839,4
840,9
841,9
842,9
843,9
844,9
845,9
846,19
847,19
848,19
849,19
850,19
851,19
852,19
853,19
854,19
855,19
856,19
857,19
858,19
859,19
860,19
861,14
862,14
863,19
864,19
865,19
866,19
867,19
868,19
869,29
870,29
871,34
872,39
873,43
874,48
875,48
876,48
877,48
878,58
879,58
880,58
881,58
882,58
883,63
884,73
885,73
886,73
887,73
888,68
889,73
890,73
891,73
892,73
893,73
894,73
895,73
896,73
897,73
898,68
899,58
900,63
901,58
902,53
903,48
904,43
905,39
906,34
907,29
908,14
909,9
910,9
911,4
912,4
913,4
914,0
915,0
916,4
917,4
918,4
919,0
920,0
921,0
922,0
923,0
924,0
925,-4
926,-4
927,-4
928,-4
929,-4
930,-4
931,-4
932,-14
933,-14
934,-14
935,-19
936,-9
937,-9
938,-9
939,-9
940,-9
941,-9
942,-9
943,-9
944,-19
945,-19
946,-19
947,-19
948,-9
949,-9
950,-9
951,-4
952,-4
953,-4
954,-14
955,-29
956,-53
957,-78
958,-87
959,-97
960,-73
961,-48
962,9
963,92
964,195
965,322
966,488
967,639
968,771
969,902
970,1029
971,1098
972,1117
973,1034
974,785
975,478
976,185
977,-43
978,-175
979,-209
980,-165
981,-126
982,-112
983,-73
984,-43
985,-29
986,-19
987,0
988,0
989,9
990,9
991,14
992,19
993,19
994,14
995,14
996,4
997,0
998,0
999,0
1000,4
1001,9
1002,9
1003,14
1004,14
1005,9
1006,9
1007,9
1008,14
1009,14
1010,14
1011,19
1012,19
1013,9
1014,9
1015,9
1016,9
1017,14
1018,14
1019,14
1020,24
1021,14
1022,14
1023,14
1024,14
1025,24
1026,24
1027,24
1028,24
1029,24
1030,24
1031,24
1032,24
1033,34
1034,39
1035,39
1036,43
1037,34
1038,34
1039,34
1040,34
1041,43
1042,48
1043,48
1044,58
1045,48
1046,48
1047,43
1048,43
1049,53
1050,63
1051,63
1052,63
1053,68
1054,68
1055,68
1056,73
1057,63
1058,73
1059,78
1060,82
1061,87
1062,87
1063,87
1064,92
1065,97
1066,102
1067,117
1068,117
1069,122
1070,131
1071,136
1072,136
1073,151
1074,156
1075,161
1076,175
1077,175
1078,190
1079,190
1080,195
1081,204
1082,214
1083,219
1084,234
1085,234
1086,239
1087,244
1088,244
1089,248
1090,248
1091,253
1092,258
1093,263
1094,263
1095,263
1096,263
1097,263
1098,263
1099,263
1100,268
1101,268
1102,268
1103,258
1104,253
1105,239
1106,224
1107,214
1108,204
1109,195
1110,190
1111,175
1112,165
1113,136
1114,131
1115,122
1116,112
1117,112
1118,102
1119,97
1120,87
1121,68
1122,58
1123,53
1124,43
1125,43
1126,39
1127,34
1128,29
1129,24
1130,19
1131,14
1132,9
1133,9
1134,9
1135,9
1136,9
1137,4
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,0
1145,0
1146,0
1147,0
1148,-4
1149,-4
1150,-4
1151,-4
1152,-4
1153,-4
1154,-4
1155,-4
1156,-4
1157,-14
1158,-19
1159,-19
1160,-19
1161,-19
1162,-19
1163,-19
1164,-19
1165,-19
1166,-19
1167,-19
1168,-19
1169,-19
1170,-19
1171,-19
1172,-19
1173,-9
1174,-9
1175,-9
1176,-9
1177,-9
1178,-9
1179,-9
1180,-4
1181,-4
1182,-4
1183,-4
1184,-4
1185,-14
1186,-14
1187,-14
1188,-14
1189,-4
1190,-4
1191,-4
1192,-4
1193,-4
1194,-4
1195,0
1196,0
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0
1208,0
1209,0
1210,0
1211,0
1212,0
1213,0
1214,0
1215,0
1216,-4
1217,-4
1218,-4
1219,0
1220,0
1221,0
1222,4
1223,4
1224,4
1225,9
1226,9
1227,9
1228,14
1229,4
1230,9
1231,9
1232,14
1233,4
1234,9
1235,9
1236,9
1237,9
1238,9
1239,9
1240,9
1241,9
1242,19
1243,19
1244,24
1245,29
1246,34
1247,39
1248,39
1249,39
1250,39
1251,48
1252,48
1253,48
1254,48
1255,48
1256,53
1257,53
1258,53
1259,53
1260,53
1261,58
1262,63
1263,63
1264,63
1265,73
1266,73
1267,73
1268,73
1269,73
1270,73
1271,68
1272,58
1273,53
1274,48
1275,43
1276,39
1277,34
1278,29
1279,24
1280,19
1281,4
1282,0
1283,0
1284,-4
1285,-4
1286,-4
1287,-9
1288,-9
1289,-14
1290,-14
1291,-14
1292,-19
1293,-19
1294,-19
1295,-19
1296,-19
1297,-19
1298,-24
1299,-24
1300,-24
1301,-24
1302,-24
1303,-24
1304,-24
1305,-24
1306,-24
1307,-24
1308,-29
1309,-29
1310,-29
1311,-29
1312,-29
1313,-29
1314,-29
1315,-29
1316,-29
1317,-29
1318,-29
1319,-29
1320,-29
1321,-29
1322,-29
1323,-29
1324,-24
1325,-24
1326,-24
1327,-24
1328,-39
1329,-63
1330,-87
1331,-97
1332,-97
1333,-82
1334,-39
1335,19
1336,102
1337,204
1338,341
1339,497
1340,658
1341,790
1342,922
1343,1039
1344,1117
1345,1127
1346,1034
1347,785
1348,468
1349,185
1350,-43
1351,-175
1352,-219
1353,-175
1354,-126
1355,-102
1356,-73
1357,-43
1358,-29
1359,-19
1360,-9
1361,0
1362,0
1363,0
1364,4
1365,9
1366,9
1367,4
1368,4
1369,-4
1370,-9
1371,-9
1372,-9
1373,-4
1374,0
1375,0
1376,4
1377,4
1378,-9
1379,-9
1380,-9
1381,-4
1382,4
1383,4
1384,9
1385,9
1386,0
1387,0
1388,0
1389,0
1390,4
1391,4
1392,4
1393,14
1394,4
1395,4
1396,4
1397,4
1398,24
1399,24
1400,24
1401,24
1402,14
1403,14
1404,14
1405,14
1406,24
1407,29
1408,29
1409,34
1410,34
1411,34
1412,34
1413,34
1414,34
1415,39
1416,39
1417,48
1418,48
1419,48
1420,43
1421,43
1422,43
1423,53
1424,53
1425,53
1426,58
1427,58
1428,58
1429,63
1430,53
1431,63
1432,68
1433,73
1434,87
1435,87
1436,87
1437,92
1438,87
1439,92
1440,107
1441,107
1442,112
1443,122
1444,126
1445,126
1446,131
1447,136
1448,141
1449,156
1450,165
1451,180
1452,180
1453,185
1454,195
1455,204
1456,209
1457,224
1458,224
1459,229
1460,234
1461,234
1462,239
1463,239
1464,244
1465,248
1466,253
1467,253
1468,253
1469,253
1470,263
1471,263
1472,263
1473,268
1474,268
1475,268
1476,258
1477,253
1478,248
1479,234
1480,224
1481,214
1482,204
1483,200
1484,185
1485,175
1486,156
1487,151
1488,141
1489,131
1490,122
1491,112
1492,107
1493,97
1494,78
1495,68
1496,63
1497,53
1498,53
1499,48
1500,43
1501,39
1502,34
1503,29
1504,24
1505,19
1506,9
1507,9
1508,9
1509,9
1510,4
1511,0
1512,0
1513,0
1514,0
1515,0
1516,0
1517,0
1518,9
1519,9
1520,9
1521,4
1522,14
1523,14
1524,14
1525,14
1526,4
1527,4
1528,4
1529,4
1530,4
1531,0
1532,0
1533,0
1534,0
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,0
1543,0
1544,0
1545,0
1546,0
1547,0
1548,0
1549,0
1550,0
1551,0
1552,0
1553,4
1554,-4
1555,-4
1556,-4
1557,-4
1558,4
1559,4
1560,4
1561,4
1562,4
1563,4
1564,4
1565,4
1566,4
1567,4
1568,9
1569,9
1570,0
1571,0
1572,0
1573,0
1574,0
1575,0
1576,0
1577,0
1578,0
1579,0
1580,0
1581,0
1582,0
1583,0
1584,0
1585,0
1586,0
1587,0
1588,0
1589,-4
1590,4
1591,4
1592,0
1593,0
1594,9
1595,9
1596,9
1597,9
1598,9
1599,9
1600,19
1601,19
1602,24
1603,29
1604,34
1605,39
1606,39
1607,39
1608,39
1609,48
1610,48
1611,48
1612,48
1613,48
1614,53
1615,53
1616,53
1617,53
1618,53
1619,58
1620,63
1621,63
1622,63
1623,63
1624,63
1625,63
1626,63
1627,63
1628,63
1629,58
1630,48
1631,43
1632,39
1633,34
1634,29
1635,24
1636,19
1637,14
1638,9
1639,4
1640,0
1641,0
1642,-4
1643,-14
1644,-14
1645,-19
1646,-19
1647,-24
1648,-24
1649,-24
1650,-29
1651,-29
1652,-29
1653,-29
1654,-29
1655,-29
1656,-34
1657,-34
1658,-34
1659,-34
1660,-34
1661,-34
1662,-34
1663,-34
1664,-34
1665,-34
